feature,gain,gain_pct,cum_gain_pct
V258,892937.9716014862,0.07185902307198933,0.07185902307198933
R_emaildomain,703966.5628318787,0.056651582852634504,0.12851060592462382
C14,570065.7077445984,0.045875935561234274,0.17438654148585808
V257,500557.9096374512,0.04028230797822697,0.21466884946408504
C1,495626.5544986725,0.039885458058116476,0.25455430752220154
V294,463772.0689907074,0.037321974051542285,0.29187628157374385
DeviceInfo,441699.34569740295,0.03554567560434949,0.32742195717809336
C13,371737.6859397888,0.02991552358644342,0.35733748076453675
P_emaildomain,356511.0579624176,0.02869016343161417,0.38602764419615093
D2,318984.53590393066,0.02567022330119734,0.41169786749734827
id_31,288734.9348487854,0.023235892083048326,0.4349337595803966
card1,277120.2077102661,0.022301199000252417,0.457234958580649
card2,275542.93450546265,0.02217426822205791,0.4794092268027069
V308,252590.36039924622,0.020327163938540838,0.49973639074124776
V201,219549.45035362244,0.017668202630142547,0.5174045933713903
TransactionDT,205366.483417511,0.016526830910376388,0.5339314242817668
addr1,191438.51674079895,0.015405980290738473,0.5493374045725052
C8,191351.89284324646,0.015399009248123222,0.5647364138206284
card6,165058.711145401,0.013283070167973188,0.5780194839886016
D15,159399.9176750183,0.012827679778628955,0.5908471637672306
Email_P_Ratio,158293.39630699158,0.0127386326700464,0.603585796437277
id_30,156710.00845336914,0.01261120981658515,0.6161970062538621
C11,138632.11428451538,0.011156394526512115,0.6273534007803742
C6,137887.84127998352,0.011096499289994632,0.6384499000703688
card5,129078.66226196289,0.010387582188881877,0.6488374822592508
C2,123584.34466362,0.009945427965833153,0.658782910225084
id_33,120994.4259967804,0.009737004725749392,0.6685199149508333
TransactionAmt_log,120151.30369186401,0.00966915460951698,0.6781890695603503
dist1,118294.95068740845,0.009519764934512249,0.6877088344948625
V70,110323.69282150269,0.00887827938779329,0.6965871138826558
D10,105160.93342208862,0.008462807251321982,0.7050499211339778
D1,104704.75171852112,0.008426096110566165,0.713476017244544
D3,102986.5924949646,0.008287827555287387,0.7217638447998314
D4,99280.102809906,0.007989548462824753,0.7297533932626561
V91,98739.32502746582,0.007946029467798153,0.7376994227304542
Device_Amt_Ratio,93041.57120323181,0.007487503750967201,0.7451869264814214
M5,91882.94290351868,0.007394263346405143,0.7525811898278265
V317,89196.02847671509,0.007178034389939273,0.7597592242177658
card3,85674.82774162292,0.006894666392484441,0.7666538906102502
M4,73161.69575500488,0.0058876743407111805,0.7725415649509614
C5,65733.12233352661,0.005289861227300196,0.7778314261782616
V283,65204.8542842865,0.00524734895080863,0.7830787751290702
C9,64806.19386291504,0.005215266824918249,0.7882940419539884
D11,63957.33463859558,0.005146955031126075,0.7934409969851145
M6,59997.05485153198,0.00482825222573441,0.798269249210849
C10,57921.84037399292,0.004661249712946928,0.8029304989237959
V315,54497.722635269165,0.0043856944522082005,0.807316193376004
D8,54249.63854408264,0.004365729929476131,0.8116819233054802
V87,51681.18858718872,0.004159034379973773,0.815840957685454
V45,49633.68975639343,0.003994262278885823,0.8198352199643397
V189,48857.718660354614,0.003931816144140937,0.8237670361084807
C4,46281.146825790405,0.003724466987990124,0.8274915030964708
ProductCD,45817.491176605225,0.003687154382801546,0.8311786574792723
V48,45167.64921760559,0.0036348584677323836,0.8348135159470047
V187,45068.76087188721,0.003626900445851218,0.8384404163928559
V62,41661.35535812378,0.0033526900984180074,0.8417931064912739
V310,39033.189796447754,0.00314118894633376,0.8449342954376077
C12,37201.44153213501,0.002993779333377945,0.8479280747709856
V312,34374.62113189697,0.0027662914687990015,0.8506943662397847
V94,33518.67169380188,0.0026974090913252143,0.8533917753311099
id_02,32912.57419395447,0.002648633503758592,0.8560404088348684
V54,32776.871643066406,0.002637712865320847,0.8586781217001893
Device_Avg_Amt,31869.506059646606,0.0025646927827760856,0.8612428144829654
V281,30617.64575958252,0.0024639495497115606,0.8637067640326769
V318,30429.40748977661,0.002448801108718785,0.8661555651413957
V83,29962.756910324097,0.002411247487054232,0.8685668126284499
V82,29851.56097793579,0.0024022990143437797,0.8709691116427937
V76,28391.5221118927,0.0022848026485292284,0.8732539142913229
card4,27727.59893989563,0.0022313735503702603,0.8754852878416932
V90,27713.759817123413,0.002230259849447898,0.8777155476911411
id_20,27674.587505340576,0.002227107464684668,0.8799426551558258
V49,27165.406412124634,0.0021861312075549567,0.8821287863633808
V285,26751.096208572388,0.00215278966825114,0.8842815760316319
V67,25862.075757980347,0.0020812459069795845,0.8863628219386115
V313,25736.68211746216,0.002071154876254442,0.8884339768148659
V307,25546.313049316406,0.002055834959647531,0.8904898117745135
addr2,25263.027408599854,0.002033037598532173,0.8925228493730456
V53,25126.91724395752,0.002022084157450679,0.8945449335304962
M3,24470.48893737793,0.0019692582072416073,0.8965141917377378
V314,24346.18405342102,0.0019592547940054114,0.8984734465317432
